,communityName,id,lat,lng
0,东方兰园,1,32.12216195714404,118.84270279851715
1,金陵御沁园,2,32.06788738686962,118.74704780616902
2,北苑一村,3,32.10896487443887,118.82621095138835
3,诚品城,4,32.130913037473775,118.93408997911621
4,亚东观云国际,5,32.00961809500381,118.77062121212461
5,中海万锦熙岸二期,6,32.05424612597832,118.63220198263478
6,玉兰里,7,32.04209026255008,118.76006682306067
7,中环国际,8,32.072784029081696,118.77920420686551
8,西城映象,9,32.022337843486326,118.77107066581193
9,燕归园,10,32.11144059869068,118.77231837713138
10,达莱花苑,11,32.05723550180587,118.77807440802562
11,南方花园C组团,12,31.967341019348833,118.82761335450984
12,钱塘望景花园,13,32.078095851305555,118.6249005078395
13,东方龙湖湾南湖苑,14,31.92348643627618,118.90431774951442
14,聚福园二期,15,32.05616943898234,118.74416547346563
15,秦淮绿洲东苑,16,31.96750201875478,118.84273809833047
16,后标营28号,17,32.03544335501468,118.83028660391088
17,中南世纪雅苑,18,32.04313070524712,118.91670898739703
18,春江新城新河苑二期,19,31.965654051905076,118.75040795206469
19,江雁山水雅苑,20,32.11271665556614,118.77558244655785
20,枫林湾,21,31.960348978449126,118.84029293408825
21,杨将军巷,22,32.05274494100212,118.79941610689087
22,怡景花园,23,32.04993755242107,118.77926817520088
23,清江花苑圆梦园,24,32.0743319346263,118.74899769326153
24,汇金新天地,25,31.951837831971545,118.8161855205409
25,汇景家园景泰苑,26,31.989306992366846,118.82248289279309
26,东渡国际青年城,27,31.937699231189253,118.8453806786831
27,东郊小镇第四街区,28,32.061763183623796,118.95718237211531
28,怡和佳苑,29,32.047291666313846,118.74622490711847
29,银亿东城第十一街区,30,32.069780415708756,118.95349704860806
30,大发融悦,31,32.03761727573808,118.87577728900419
31,香格里拉东苑,32,32.029666466154744,118.81469685673453
32,威尼斯水城第九街区,33,32.144431053314236,118.75509574679224
33,阳光帝景,34,32.10978220997421,118.68945458061789
34,白鹭花园凤栖苑,35,32.0353255699562,118.75160777831063
35,万科璞悦山,36,32.07654420774322,118.60605686634318
36,莫愁新寓郁金里,37,32.045758674157625,118.76182384935001
37,江滨新寓,38,32.059711427646704,118.73749828410618
38,太平北路122号,39,32.058385712691596,118.80363623478688
39,东郊小镇第七街区,40,32.065492367585435,118.95520127968598
40,北江锦城,41,32.05911593912564,118.61709039988818
41,万科璞悦山,42,32.07654420774322,118.60605686634318
42,龙湖文馨苑,43,31.90704695962997,118.83042899162233
43,宋都南郡国际北区,44,31.91606233376603,118.67127190153616
44,五矿崇文金城,45,31.97412056566775,118.70294487822414
45,水月秦淮,46,31.960642631711774,118.81091297743485
46,明月港湾星河湾,47,31.979924773155037,118.8371741754594
47,凤凰西街,48,32.046615878683866,118.75601607965163
48,仙鹤茗苑,49,32.095082633526054,118.90856520655895
49,中粮鸿云,50,31.99919874407892,118.88865004379271
50,水佐岗,51,32.07579434133867,118.77054923719224
51,赞成湖畔居,52,32.088512990298135,118.81093555185232
52,天地新城天柱座,53,31.980053281040735,118.83584571545765
53,玉带园,54,32.03051170128577,118.78369125366753
54,黄埔鑫园,55,32.024522178595326,118.82419304280602
